Fecha Operación,NombrePlanta,TipoGeneracion
2010-08-18,CURRUCUCUES,Hidráulica
2010-01-28,CARUQUIA,Hidráulica
1995-07-20,INSULA,Hidráulica
1973-03-01,PRADO IV,Hidráulica
2014-07-24,LA REBUSCA,Hidráulica
1930-01-01,PATICO - LA CABRERA,Hidráulica
2007-07-30,URRAO,Hidráulica
1935-01-01,EL BOSQUE,Hidráulica
2005-06-09,SANTA ANA,Hidráulica
2003-11-16,SAN JOSE,Hidráulica
1960-01-01,RIO PALO,Hidráulica
1975-01-01,RIONEGRO,Hidráulica
1957-11-01,VENTANA A,Hidráulica
2000-03-31,RIO PIEDRAS,Hidráulica
1954-01-01,PALMAS SAN GIL,Hidráulica
1958-11-01,RIO RECIO,Hidráulica
1947-01-01,RIO ABAJO,Hidráulica
2004-11-03,MIROLINDO,Hidráulica
1934-01-01,ASNAZU,Hidráulica
1935-01-01,UNION,Hidráulica
1943-01-01,BAYONA,Hidráulica
1929-01-01,SAN CANCIO,Hidráulica
1992-01-01,GUACAICA,Hidráulica
2004-04-10,TEQUENDAMA,Hidráulica
2005-01-01,LA JUNCA,Hidráulica
2003-12-06,LA TINTA,Hidráulica
2003-12-06,EL LIMONAR,Hidráulica
2002-05-24,SUEVA 2,Hidráulica
1951-01-01,RIOFRIO (TAMESIS),Hidráulica
2007-08-05,AMALFI,Hidráulica
2007-07-30,SAN JOSE DE LA MONTAÑA,Hidráulica
2002-06-01,SONSON,Hidráulica
1995-07-20,RIO MAYO,Hidráulica
1973-03-01,PRADO,Hidráulica
2007-09-19,REMEDIOS,Hidráulica
1993-03-19,GUAVIO,Hidráulica
2004-02-18,PASTALES,Hidráulica
1975-01-01,FLORIDA,Hidráulica
1939-01-01,OVEJAS,Hidráulica
1977-05-23,CHIVOR,Hidráulica
1987-11-01,BETANIA,Hidráulica
2024-12-06,COGENERADOR MANUELITA 2,Biomasa
2009-11-11,INGENIO LA CARMELITA,Biomasa
2009-05-18,INGENIO PROVIDENCIA 2,Biomasa
2013-12-19,COGENERADOR COLTEJER 1,Biomasa
2004-08-15,CENTRAL CASTILLA 1,Biomasa
1998-10-21,INCAUCA 1,Biomasa
